mixture_ID,speaker_1_ID,speaker_1_sex,speaker_2_ID,speaker_2_sex
BAC009S0110W0140_BAC009S0711W0437,S0110,M,S0711,M
BAC009S0090W0307_BAC009S0015W0305,S0090,M,S0015,M
BAC009S0081W0261_BAC009S0141W0156,S0081,M,S0141,F
BAC009S0513W0211_BAC009S0188W0205,S0513,F,S0188,F
BAC009S0040W0154_BAC009S0121W0202,S0040,M,S0121,M
BAC009S0148W0350_BAC009S0246W0229,S0148,F,S0246,M
BAC009S0243W0234_BAC009S0036W0125,S0243,F,S0036,M
BAC009S0156W0308_BAC009S0090W0173,S0156,F,S0090,M
BAC009S0096W0126_BAC009S0124W0380,S0096,M,S0124,F
BAC009S0181W0286_BAC009S0091W0190,S0181,F,S0091,M
BAC009S0151W0367_BAC009S0070W0368,S0151,F,S0070,M
BAC009S0523W0490_BAC009S0142W0478,S0523,F,S0142,F
BAC009S0030W0391_BAC009S0097W0391,S0030,M,S0097,M
BAC009S0334W0374_BAC009S0153W0296,S0334,F,S0153,F
BAC009S0231W0398_BAC009S0183W0330,S0231,F,S0183,F
BAC009S0721W0336_BAC009S0035W0348,S0721,M,S0035,M
BAC009S0061W0125_BAC009S0355W0318,S0061,M,S0355,F
BAC009S0518W0382_BAC009S0114W0310,S0518,F,S0114,M
BAC009S0060W0125_BAC009S0351W0252,S0060,M,S0351,F
BAC009S0034W0309_BAC009S0204W0325,S0034,M,S0204,F
BAC009S0240W0159_BAC009S0063W0424,S0240,F,S0063,M
BAC009S0234W0426_BAC009S0152W0263,S0234,F,S0152,F
BAC009S0123W0314_BAC009S0177W0140,S0123,M,S0177,F
BAC009S0353W0290_BAC009S0198W0329,S0353,F,S0198,F
BAC009S0023W0411_BAC009S0214W0162,S0023,M,S0214,F
BAC009S0161W0294_BAC009S0093W0143,S0161,F,S0093,M
BAC009S0215W0264_BAC009S0147W0193,S0215,F,S0147,F
BAC009S0148W0468_BAC009S0048W0436,S0148,F,S0048,M
BAC009S0518W0167_BAC009S0238W0312,S0518,F,S0238,F
BAC009S0239W0399_BAC009S0337W0161,S0239,F,S0337,F
BAC009S0070W0323_BAC009S0065W0285,S0070,M,S0065,M
BAC009S0095W0147_BAC009S0666W0329,S0095,M,S0666,F
BAC009S0509W0175_BAC009S0243W0494,S0509,F,S0243,F
BAC009S0354W0232_BAC009S0225W0417,S0354,F,S0225,F
BAC009S0056W0233_BAC009S0088W0158,S0056,M,S0088,M
BAC009S0006W0192_BAC009S0044W0237,S0006,M,S0044,M
BAC009S0241W0260_BAC009S0722W0377,S0241,F,S0722,M
BAC009S0598W0141_BAC009S0117W0303,S0598,M,S0117,M
BAC009S0154W0233_BAC009S0347W0273,S0154,F,S0347,F
BAC009S0245W0435_BAC009S0708W0396,S0245,F,S0708,M
BAC009S0069W0236_BAC009S0115W0340,S0069,M,S0115,M
BAC009S0182W0183_BAC009S0163W0209,S0182,F,S0163,F
BAC009S0022W0165_BAC009S0661W0188,S0022,M,S0661,F
BAC009S0337W0177_BAC009S0043W0373,S0337,F,S0043,M
BAC009S0340W0447_BAC009S0127W0492,S0340,F,S0127,F
BAC009S0177W0214_BAC009S0147W0386,S0177,F,S0147,F
BAC009S0038W0181_BAC009S0343W0398,S0038,M,S0343,F
BAC009S0186W0328_BAC009S0199W0239,S0186,F,S0199,F
BAC009S0238W0421_BAC009S0520W0201,S0238,F,S0520,F
BAC009S0116W0137_BAC009S0042W0230,S0116,M,S0042,M
BAC009S0598W0368_BAC009S0714W0254,S0598,M,S0714,M
BAC009S0189W0230_BAC009S0045W0460,S0189,F,S0045,M
BAC009S0250W0285_BAC009S0165W0249,S0250,M,S0165,F
BAC009S0107W0127_BAC009S0103W0375,S0107,M,S0103,M
BAC009S0360W0415_BAC009S0112W0374,S0360,F,S0112,M
BAC009S0187W0382_BAC009S0132W0436,S0187,F,S0132,F
