mixture_ID,speaker_1_ID,speaker_1_sex,speaker_2_ID,speaker_2_sex,speaker_3_ID,speaker_3_sex
BAC009S0110W0140_BAC009S0711W0437_BAC009S0074W0179,S0110,M,S0711,M,S0074,M
BAC009S0334W0141_BAC009S0081W0261_BAC009S0141W0156,S0334,F,S0081,M,S0141,F
BAC009S0513W0211_BAC009S0188W0205_BAC009S0344W0149,S0513,F,S0188,F,S0344,F
BAC009S0121W0202_BAC009S0148W0350_BAC009S0014W0221,S0121,M,S0148,F,S0014,M
BAC009S0243W0234_BAC009S0036W0125_BAC009S0156W0308,S0243,F,S0036,M,S0156,F
BAC009S0090W0173_BAC009S0202W0191_BAC009S0088W0491,S0090,M,S0202,F,S0088,M
BAC009S0181W0286_BAC009S0091W0190_BAC009S0177W0177,S0181,F,S0091,M,S0177,F
BAC009S0070W0368_BAC009S0711W0466_BAC009S0142W0478,S0070,M,S0711,M,S0142,F
BAC009S0030W0391_BAC009S0097W0391_BAC009S0334W0374,S0030,M,S0097,M,S0334,F
BAC009S0043W0215_BAC009S0661W0319_BAC009S0183W0330,S0043,M,S0661,F,S0183,F
BAC009S0721W0336_BAC009S0035W0348_BAC009S0015W0475,S0721,M,S0035,M,S0015,M
BAC009S0355W0318_BAC009S0518W0382_BAC009S0167W0317,S0355,F,S0518,F,S0167,F
BAC009S0060W0125_BAC009S0351W0252_BAC009S0034W0309,S0060,M,S0351,F,S0034,M
BAC009S0093W0127_BAC009S0240W0159_BAC009S0063W0424,S0093,M,S0240,F,S0063,M
BAC009S0234W0426_BAC009S0152W0263_BAC009S0123W0314,S0234,F,S0152,F,S0123,M
BAC009S0520W0134_BAC009S0173W0308_BAC009S0115W0372,S0520,F,S0173,F,S0115,M
BAC009S0023W0411_BAC009S0214W0162_BAC009S0068W0144,S0023,M,S0214,F,S0068,M
BAC009S0093W0143_BAC009S0049W0397_BAC009S0147W0193,S0093,M,S0049,M,S0147,F
BAC009S0148W0468_BAC009S0048W0436_BAC009S0719W0124,S0148,F,S0048,M,S0719,M
BAC009S0238W0312_BAC009S0239W0399_BAC009S0157W0240,S0238,F,S0239,F,S0157,F
BAC009S0070W0323_BAC009S0065W0285_BAC009S0130W0215,S0070,M,S0065,M,S0130,F
BAC009S0352W0479_BAC009S0167W0177_BAC009S0243W0494,S0352,F,S0167,F,S0243,F
BAC009S0354W0232_BAC009S0225W0417_BAC009S0513W0293,S0354,F,S0225,F,S0513,F
BAC009S0242W0298_BAC009S0722W0377_BAC009S0123W0277,S0242,F,S0722,M,S0123,M
BAC009S0522W0298_BAC009S0184W0260_BAC009S0199W0362,S0522,F,S0184,F,S0199,F
BAC009S0240W0151_BAC009S0658W0472_BAC009S0211W0448,S0240,F,S0658,F,S0211,F
BAC009S0521W0201_BAC009S0123W0171_BAC009S0127W0136,S0521,F,S0123,M,S0127,F
BAC009S0006W0280_BAC009S0706W0152_BAC009S0519W0410,S0006,M,S0706,M,S0519,F
BAC009S0124W0463_BAC009S0177W0214_BAC009S0514W0430,S0124,F,S0177,F,S0514,F
